Date,Time,CminusO,DCminusDO,DOminusYC
1130104,850,-8,-26,-24
1130104,855,4,-26,-24
1130104,900,-7,-26,-24
1130104,905,-9,-26,-24
1130104,910,-1,-26,-24
1130104,915,6,-26,-24
1130104,920,-1,-26,-24
1130104,925,7,-26,-24
1130104,930,-6,-26,-24
1130104,935,1,-26,-24
1130104,940,1,-26,-24
1130104,945,1,-26,-24
1130104,950,-3,-26,-24
1130104,955,7,-26,-24
1130104,1000,-3,-26,-24
1130104,1005,-4,-26,-24
1130104,1010,0,-26,-24
1130104,1015,-2,-26,-24
1130104,1020,-1,-26,-24
1130104,1025,0,-26,-24
1130104,1030,-5,-26,-24
1130104,1035,-2,-26,-24
1130104,1040,3,-26,-24
1130104,1045,0,-26,-24
1130104,1050,-2,-26,-24
1130104,1055,3,-26,-24
1130104,1100,-3,-26,-24
1130104,1105,3,-26,-24
1130104,1110,-7,-26,-24
1130104,1115,-17,-26,-24
1130104,1120,6,-26,-24
1130104,1125,0,-26,-24
1130104,1130,2,-26,-24
1130104,1135,2,-26,-24
1130104,1140,1,-26,-24
1130104,1145,-1,-26,-24
1130104,1150,1,-26,-24
1130104,1155,6,-26,-24
1130104,1200,0,-26,-24
1130104,1205,-3,-26,-24
1130104,1210,-1,-26,-24
1130104,1215,1,-26,-24
1130104,1220,0,-26,-24
1130104,1225,6,-26,-24
1130104,1230,2,-26,-24
1130104,1235,-3,-26,-24
1130104,1240,2,-26,-24
1130104,1245,-7,-26,-24
1130104,1250,5,-26,-24
1130104,1255,-1,-26,-24
1130104,1300,4,-26,-24
1130104,1305,-4,-26,-24
1130104,1310,-3,-26,-24
1130104,1315,0,-26,-24
1130104,1320,1,-26,-24
1130104,1325,-2,-26,-24
1130104,1330,9,-26,-24
1130104,1335,1,-26,-24
1130104,1340,-3,-26,-24
1130104,1345,-1,-26,-24
1130107,850,3,0,-31
1130107,855,16,0,-31
1130107,900,1,0,-31
1130107,905,-2,0,-31
1130107,910,-3,0,-31
1130107,915,0,0,-31
1130107,920,-2,0,-31
1130107,925,-6,0,-31
1130107,930,-25,0,-31
1130107,935,-1,0,-31
1130107,940,5,0,-31
1130107,945,-6,0,-31
1130107,950,-12,0,-31
1130107,955,7,0,-31
