Category,Date,Time,All_Time,Time_1,Time_2,Time_3,All_Amp,Amp_1,Amp_2,Amp_3,pre
7,1080118,945,5,3,1,1,429,331,173,271,0
3,1080118,1345,6,1,1,4,383,173,271,383,7
1,1080121,1045,7,1,4,2,383,271,383,157,3
6,1080121,1145,7,4,2,1,383,383,157,93,1
4,1080122,1345,10,2,1,7,694,157,93,630,6
3,1080123,945,9,1,7,1,630,93,630,207,4
10,1080123,1345,12,7,1,4,852,630,207,429,3
3,1080124,945,6,1,4,1,429,207,429,326,10
7,1080124,1045,6,4,1,1,429,429,326,259,3
8,1080124,1245,4,1,1,2,326,326,259,190,7
4,1080124,1345,4,1,2,1,259,259,190,105,8
8,1080125,1045,5,2,1,2,350,190,105,265,4
2,1080125,1245,5,1,2,2,265,105,265,86,8
9,1080125,1345,5,2,2,1,304,265,86,125,2
2,1080128,1345,8,2,1,5,372,86,125,372,9
5,1080129,945,7,1,5,1,372,125,372,193,2
10,1080129,1145,8,5,1,2,372,372,193,180,5
8,1080130,1045,7,1,2,4,250,193,180,237,10
2,1080130,1245,8,2,4,2,237,180,237,204,8
6,1080131,945,8,4,2,2,237,237,204,114,2
4,1080131,1145,6,2,2,2,319,204,114,229,6
3,1080201,1345,11,2,2,7,342,114,229,342,4
1,1080212,1045,11,2,7,2,342,229,342,215,3
6,1080212,1245,11,7,2,2,342,342,215,100,1
4,1080212,1345,5,2,2,1,215,215,100,89,6
8,1080213,945,4,2,1,1,144,100,89,133,4
2,1080213,1345,6,1,1,4,133,89,133,124,8
6,1080214,1345,10,1,4,5,436,133,124,427,2
2,1080215,945,10,4,5,1,427,124,427,150,6
9,1080215,1145,8,5,1,2,427,427,150,124,2
4,1080215,1245,4,1,2,1,150,150,124,101,9
8,1080218,945,5,2,1,2,239,124,101,216,4
2,1080218,1245,6,1,2,3,216,101,216,160,8
6,1080219,945,7,2,3,2,216,216,160,153,2
4,1080219,1045,6,3,2,1,160,160,153,54,6
8,1080219,1345,6,2,1,3,194,153,54,95,4
2,1080220,945,5,1,3,1,95,54,95,88,8
6,1080220,1145,6,3,1,2,95,95,88,58,2
4,1080220,1345,5,1,2,2,209,88,58,179,6
3,1080221,1345,9,2,2,5,232,58,179,232,4
1,1080222,945,8,2,5,1,232,179,232,129,3
6,1080225,1045,12,5,1,6,420,232,129,317,1
2,1080225,1245,9,1,6,2,317,129,317,52,6
9,1080226,945,10,6,2,2,389,317,52,124,2
2,1080226,1345,8,2,2,4,124,52,124,113,9
6,1080227,1345,11,2,4,5,223,124,113,212,2
2,1080229,945,10,4,5,1,212,113,212,122,6
6,1080229,1345,10,5,1,4,247,212,122,157,2
2,1080303,1045,7,1,4,2,345,122,157,345,6
5,1080304,1145,12,4,2,6,345,157,345,339,2
7,1080304,1245,9,2,6,1,345,345,339,69,5
8,1080305,945,9,6,1,2,453,339,69,183,7
2,1080305,1245,6,1,2,3,183,69,183,142,8
6,1080306,945,7,2,3,2,240,183,142,199,2
2,1080306,1145,7,3,2,2,199,142,199,83,6
6,1080306,1345,6,2,2,2,273,199,83,157,2
2,1080307,945,5,2,2,1,157,83,157,156,6
6,1080307,1045,4,2,1,1,157,157,156,113,2
4,1080311,945,11,1,1,9,506,156,113,463,6
3,1080311,1045,11,1,9,1,463,113,463,162,4
10,1080311,1145,11,9,1,1,463,463,162,90,3
8,1080312,945,5,1,1,3,427,162,90,355,10
2,1080312,1245,7,1,3,3,355,90,355,205,8
9,1080312,1345,7,3,3,1,355,355,205,93,2
4,1080313,1345,9,3,1,5,449,205,93,337,9
3,1080314,945,7,1,5,1,337,93,337,136,4
10,1080317,1045,12,5,1,6,646,337,136,445,3
3,1080318,945,11,1,6,4,445,136,445,204,10
10,1080318,1145,12,6,4,2,445,445,204,142,3
8,1080319,945,9,4,2,3,428,204,142,366,10
2,1080320,1045,11,2,3,6,366,142,366,230,8
6,1080321,1145,15,3,6,6,612,366,230,476,2
2,1080321,1245,13,6,6,1,476,230,476,88,6
9,1080324,945,9,6,1,2,1063,476,88,675,2
2,1080324,1245,6,1,2,3,675,88,675,311,9
9,1080325,945,7,2,3,2,675,675,311,169,2
4,1080325,1345,9,3,2,4,382,311,169,240,9
3,1080326,1145,9,2,4,3,240,169,240,106,4
